Items in order,lemmatized_text
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
"1 x Salted Crisper Fries, 1 x Grilled Chicken Jamaican Tender",x salted crisper fry x grilled chicken jamaican tender
"1 x Grilled Chicken Jamaican Tender, 1 x Grilled Chicken Smoky BBQ Tender",x grilled chicken jamaican tender x grilled chicken smoky bbq tender
1 x Grilled Chicken Peri Peri Tender,x grilled chicken peri peri tender
1 x Bone in Peri Peri Grilled Chicken,x bone peri peri grilled chicken
1 x Grilled Chicken Smoky BBQ Tender,x grilled chicken smoky bbq tender
"1 x Garlic Aioli, 2 x Animal Fries, 1 x Harisa Mayo",x garlic aioli x animal fry x harisa mayo
2 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
"1 x Grilled Chicken Angara Tender, 1 x Grilled Chicken Smoky BBQ Tender, 1 x Salted Fries",x grilled chicken angara tender x grilled chicken smoky bbq tender x salted fry
2 x Bone in Smoky Bbq Grilled Chicken,x bone smoky bbq grilled chicken
"1 x AAC Signature Fries, 1 x Bone in Jamaican Grilled Chicken",x aac signature fry x bone jamaican grilled chicken
"1 x Bone in Jamaican Grilled Chicken, 1 x Bone in Peri Peri Grilled Chicken",x bone jamaican grilled chicken x bone peri peri grilled chicken
2 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
"1 x Fried Chicken Ghostbuster Tender, 1 x Bone in Angara Grilled Chicken",x fried chicken ghostbuster tender x bone angara grilled chicken
"1 x Bone in Kabuli Grilled Chicken, 1 x Bone in Jamaican Grilled Chicken",x bone kabuli grilled chicken x bone jamaican grilled chicken
"1 x Bone in Smoky Bbq Grilled Chicken, 1 x Bone in Jamaican Grilled Chicken",x bone smoky bbq grilled chicken x bone jamaican grilled chicken
"1 x Bone in Smoky Bbq Grilled Chicken, 1 x Bone in Jamaican Grilled Chicken",x bone smoky bbq grilled chicken x bone jamaican grilled chicken
"1 x Grilled Chicken Angara Tender, 1 x Fried Chicken Angara Tender",x grilled chicken angara tender x fried chicken angara tender
"2 x AAC Signature Fries, 2 x Garlic Aioli",x aac signature fry x garlic aioli
"2 x Grilled Chicken Jamaican Tender, 1 x Grilled Chicken Angara Tender, 1 x Bone in Peri Peri Grilled Chicken",x grilled chicken jamaican tender x grilled chicken angara tender x bone peri peri grilled chicken
"1 x Bone in Jamaican Grilled Chicken, 1 x Bone in Peri Peri Grilled Chicken, 1 x Animal Fries",x bone jamaican grilled chicken x bone peri peri grilled chicken x animal fry
"1 x Bone in Angara Grilled Chicken, 1 x Bone in Jamaican Grilled Chicken",x bone angara grilled chicken x bone jamaican grilled chicken
2 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
"2 x Grilled Chicken Smoky BBQ Tender, 2 x Grilled Chicken Ghostbuster Tangdi",x grilled chicken smoky bbq tender x grilled chicken ghostbuster tangdi
"1 x Grilled Chicken Angara Tender, 1 x Grilled Chicken Smoky BBQ Tender",x grilled chicken angara tender x grilled chicken smoky bbq tender
"1 x Grilled Chicken Jamaican Tender, 1 x Grilled Chicken Jamaican Tender",x grilled chicken jamaican tender x grilled chicken jamaican tender
2 x Angara Sauce,x angara sauce
"1 x AAC Grilled Paneer Burger, 1 x AAC Fried Paneer Burger",x aac grilled paneer burger x aac fried paneer burger
"1 x Kabuli Grilled Paneer (8 pcs), 1 x Angara Grilled Paneer (8 pcs)",x kabuli grilled paneer pc x angara grilled paneer pc
"1 x Bone in Jamaican Grilled Chicken, 1 x Bone in Smoky Bbq Grilled Chicken",x bone jamaican grilled chicken x bone smoky bbq grilled chicken
"1 x Fried Chicken Ghostbuster Tender, 1 x Fried Chicken Kabuli Tender, 1 x Fried Chicken Peri Peri Tender, 1 x Fried Chicken Classic Tender, 1 x Onion Rings, 1 x Peri Peri Fries",x fried chicken ghostbuster tender x fried chicken kabuli tender x fried chicken peri peri tender x fried chicken classic tender x onion ring x peri peri fry
"1 x Salted Fries, 2 x Fried Chicken Angara Tender, 1 x Peri Peri Fries",x salted fry x fried chicken angara tender x peri peri fry
"1 x Angara Rice, 2 x Animal Fries, 1 x Harisa Mayo",x angara rice x animal fry x harisa mayo
"1 x Bone in Jamaican Grilled Chicken, 1 x Grilled Chicken Jamaican Tangdi",x bone jamaican grilled chicken x grilled chicken jamaican tangdi
"1 x Animal Fries, 1 x Grilled Chicken Angara Tender, 1 x Indian Pico De-Gallo, 1 x India Dynamite sauce",x animal fry x grilled chicken angara tender x indian pico degallo x india dynamite sauce
2 x Peri Peri Crisper Fries,x peri peri crisper fry
"1 x Grilled Chicken Jamaican Tender, 1 x Grilled Chicken Angara Tender",x grilled chicken jamaican tender x grilled chicken angara tender
2 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
1 x Animal Fries,x animal fry
"1 x Animal Fries, 1 x Onion Bombs, 2 x Bone in Peri Peri Grilled Chicken",x animal fry x onion bomb x bone peri peri grilled chicken
"1 x Bone in Jamaican Grilled Chicken, 1 x Grilled Chicken Jamaican Tangdi",x bone jamaican grilled chicken x grilled chicken jamaican tangdi
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
"1 x AAC Special Slaw, 1 x Bone in Peri Peri Grilled Chicken",x aac special slaw x bone peri peri grilled chicken
"1 x Bone in Jamaican Grilled Chicken, 1 x Salted Fries",x bone jamaican grilled chicken x salted fry
1 x Grilled Chicken Smoky BBQ Tender,x grilled chicken smoky bbq tender
"1 x Grilled Chicken Jamaican Tender, 1 x Bone in Angara Grilled Chicken, 1 x Bone in Jamaican Grilled Chicken",x grilled chicken jamaican tender x bone angara grilled chicken x bone jamaican grilled chicken
1 x Salted Fries,x salted fry
1 x Animal Fries,x animal fry
"1 x Grilled Chicken Jamaican Tender, 1 x Grilled Chicken Smoky BBQ Tender",x grilled chicken jamaican tender x grilled chicken smoky bbq tender
1 x Grilled Chicken Smoky BBQ Tender,x grilled chicken smoky bbq tender
"1 x Onion Rings, 1 x Fried Chicken Classic Tender, 1 x Fried Chicken Peri Peri Tender",x onion ring x fried chicken classic tender x fried chicken peri peri tender
"1 x AAC Signature Crisper Fries, 1 x Fried Chicken Kabuli Tender, 1 x Fried Chicken Angara Tender",x aac signature crisper fry x fried chicken kabuli tender x fried chicken angara tender
"1 x Salted Fries, 1 x Bone in Jamaican Grilled Chicken",x salted fry x bone jamaican grilled chicken
1 x Bone in Peri Peri Grilled Chicken,x bone peri peri grilled chicken
"1 x Onion Rings, 1 x Bone in Smoky Bbq Grilled Chicken",x onion ring x bone smoky bbq grilled chicken
"1 x Bone in Jamaican Grilled Chicken, 1 x Bone in Angara Grilled Chicken",x bone jamaican grilled chicken x bone angara grilled chicken
"1 x Animal Fries, 1 x Onion Bombs",x animal fry x onion bomb
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
1 x Bone in Peri Peri Grilled Chicken,x bone peri peri grilled chicken
1 x Grilled Chicken Angara Tender,x grilled chicken angara tender
"1 x Angara Rice, 1 x Grilled Chicken Jamaican Tender, 1 x Grilled Chicken Peri Peri Tender, 1 x Grilled Chicken Angara Tender",x angara rice x grilled chicken jamaican tender x grilled chicken peri peri tender x grilled chicken angara tender
"1 x Harisa Mayo, 1 x Grilled Chicken Jamaican Tender, 1 x Grilled Chicken Smoky BBQ Tender",x harisa mayo x grilled chicken jamaican tender x grilled chicken smoky bbq tender
1 x Bone in Kabuli Grilled Chicken,x bone kabuli grilled chicken
"1 x Grilled Chicken Jamaican Tender, 1 x Grilled Chicken Jamaican Tender",x grilled chicken jamaican tender x grilled chicken jamaican tender
1 x Grilled Chicken Smoky BBQ Tender,x grilled chicken smoky bbq tender
1 x Fried Chicken Peri Peri Tender,x fried chicken peri peri tender
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
1 x Grilled Chicken Jamaican Tender,x grilled chicken jamaican tender
"1 x Grilled Chicken Peri Peri Tangdi, 1 x Bone in Jamaican Grilled Chicken",x grilled chicken peri peri tangdi x bone jamaican grilled chicken
1 x Fried Chicken Classic Tender,x fried chicken classic tender
"1 x Bone in Jamaican Grilled Chicken, 1 x AAC Special Slaw",x bone jamaican grilled chicken x aac special slaw
"1 x Bone in Smoky Bbq Grilled Chicken, 1 x Grilled Chicken Smoky BBQ Tender",x bone smoky bbq grilled chicken x grilled chicken smoky bbq tender
"1 x Fried Chicken Peri Peri Tender, 1 x Animal Fries",x fried chicken peri peri tender x animal fry
1 x Animal Fries,x animal fry
"1 x Grilled Chicken Smoky BBQ Tender, 1 x Bone in Kabuli Grilled Chicken",x grilled chicken smoky bbq tender x bone kabuli grilled chicken
1 x Fried Chicken Classic Tender,x fried chicken classic tender
1 x Grilled Chicken Jamaican Tender,x grilled chicken jamaican tender
2 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
2 x Fried Chicken Peri Peri Tender,x fried chicken peri peri tender
"1 x Bone in Peri Peri Grilled Chicken, 1 x Bone in Jamaican Grilled Chicken",x bone peri peri grilled chicken x bone jamaican grilled chicken
"2 x Bone in Jamaican Grilled Chicken, 3 x Bone in Peri Peri Grilled Chicken",x bone jamaican grilled chicken x bone peri peri grilled chicken
"2 x Fried Chicken Angara Tender, 2 x Animal Fries",x fried chicken angara tender x animal fry
"1 x Fried Chicken Ghostbuster Tender, 1 x AAC Signature Crisper Fries",x fried chicken ghostbuster tender x aac signature crisper fry
"1 x Bone in Jamaican Grilled Chicken, 1 x Bone in Smoky Bbq Grilled Chicken",x bone jamaican grilled chicken x bone smoky bbq grilled chicken
"1 x Fried Chicken Angara Tender, 1 x Grilled Chicken Jamaican Tender",x fried chicken angara tender x grilled chicken jamaican tender
2 x Animal Fries,x animal fry
"1 x Grilled Chicken Angara Tender, 1 x Grilled Chicken Peri Peri Tender",x grilled chicken angara tender x grilled chicken peri peri tender
"1 x Bone in Jamaican Grilled Chicken, 1 x Fried Chicken Peri Peri Tender",x bone jamaican grilled chicken x fried chicken peri peri tender
"1 x Angara Sauce, 1 x Fried Chicken Classic Tender, 1 x Garlic Aioli, 1 x Jamaican Sauce, 1 x India Dynamite sauce, 1 x Grilled Chicken Jamaican Tender",x angara sauce x fried chicken classic tender x garlic aioli x jamaican sauce x india dynamite sauce x grilled chicken jamaican tender
2 x Grilled Chicken Smoky BBQ Tender,x grilled chicken smoky bbq tender
"1 x Animal Fries, 1 x Bone in Jamaican Grilled Chicken",x animal fry x bone jamaican grilled chicken
"1 x Grilled Chicken Smoky BBQ Tender, 1 x Bone in Jamaican Grilled Chicken",x grilled chicken smoky bbq tender x bone jamaican grilled chicken
"1 x Bone in Peri Peri Grilled Chicken, 1 x Bone in Angara Grilled Chicken",x bone peri peri grilled chicken x bone angara grilled chicken
"1 x Grilled Chicken Jamaican Tender, 1 x Fried Chicken Angara Tender",x grilled chicken jamaican tender x fried chicken angara tender
"1 x Grilled Chicken Peri Peri Tender, 1 x Grilled Chicken Smoky BBQ Tender",x grilled chicken peri peri tender x grilled chicken smoky bbq tender
"1 x Bone in Jamaican Grilled Chicken, 1 x Bone in Smoky Bbq Grilled Chicken",x bone jamaican grilled chicken x bone smoky bbq grilled chicken
"1 x Bone in Peri Peri Grilled Chicken, 1 x Bone in Jamaican Grilled Chicken",x bone peri peri grilled chicken x bone jamaican grilled chicken
"1 x Grilled Chicken Jamaican Tender, 1 x Fried Chicken Angara Tender, 1 x Animal Fries, 1 x Fried Chicken Kabuli Tender",x grilled chicken jamaican tender x fried chicken angara tender x animal fry x fried chicken kabuli tender
"1 x Animal Fries, 1 x Fried Chicken Classic Tender",x animal fry x fried chicken classic tender
"2 x Bone in Jamaican Grilled Chicken, 1 x Fried Chicken Peri Peri Tender",x bone jamaican grilled chicken x fried chicken peri peri tender
"1 x Bone in Jamaican Grilled Chicken, 1 x Salted Fries",x bone jamaican grilled chicken x salted fry
"1 x Fried Chicken Peri Peri Tender, 1 x Bone in Peri Peri Grilled Chicken",x fried chicken peri peri tender x bone peri peri grilled chicken
"1 x Bone in Jamaican Grilled Chicken, 1 x Animal Fries",x bone jamaican grilled chicken x animal fry
"1 x Bone in Kabuli Grilled Chicken, 1 x Grilled Chicken Peri Peri Tender",x bone kabuli grilled chicken x grilled chicken peri peri tender
"1 x Grilled Chicken Ghostbuster Tangdi, 1 x Bone in Jamaican Grilled Chicken",x grilled chicken ghostbuster tangdi x bone jamaican grilled chicken
"1 x Bone in Peri Peri Grilled Chicken, 1 x Bone in Smoky Bbq Grilled Chicken",x bone peri peri grilled chicken x bone smoky bbq grilled chicken
"1 x Animal Fries, 1 x Fried Chicken Peri Peri Tender",x animal fry x fried chicken peri peri tender
"1 x Fried Chicken Peri Peri Tender, 1 x Fried Chicken Classic Tender",x fried chicken peri peri tender x fried chicken classic tender
"1 x Bone in Jamaican Grilled Chicken, 1 x Bone in Peri Peri Grilled Chicken, 1 x Garlic Aioli, 1 x Peri Peri Sauce",x bone jamaican grilled chicken x bone peri peri grilled chicken x garlic aioli x peri peri sauce
"1 x Grilled Chicken Peri Peri Tender, 1 x Bone in Jamaican Grilled Chicken",x grilled chicken peri peri tender x bone jamaican grilled chicken
2 x Grilled Chicken Angara Tangdi,x grilled chicken angara tangdi
"1 x Grilled Chicken Angara Tender, 1 x Grilled Chicken Jamaican Tender",x grilled chicken angara tender x grilled chicken jamaican tender
2 x Animal Fries,x animal fry
"1 x Fried Chicken Classic Tender, 1 x Grilled Chicken Jamaican Tangdi",x fried chicken classic tender x grilled chicken jamaican tangdi
"1 x Grilled Chicken Jamaican Tender, 1 x Onion Bombs, 1 x AAC Fried Paneer Burger, 2 x Angara Aloo Tuk Tuki, 1 x Angara Rice",x grilled chicken jamaican tender x onion bomb x aac fried paneer burger x angara aloo tuk tuki x angara rice
"1 x India Dynamite sauce, 1 x Grilled Chicken Angara Tender, 1 x Harisa Mayo, 1 x Bone in Jamaican Grilled Chicken",x india dynamite sauce x grilled chicken angara tender x harisa mayo x bone jamaican grilled chicken
2 x Bone in Kabuli Grilled Chicken,x bone kabuli grilled chicken
"1 x Bone in Angara Grilled Chicken, 1 x Animal Fries, 1 x Bone in Kabuli Grilled Chicken, 1 x Fried Chicken Ghostbuster Tender",x bone angara grilled chicken x animal fry x bone kabuli grilled chicken x fried chicken ghostbuster tender
"1 x Bone in Jamaican Grilled Chicken, 1 x Grilled Chicken Peri Peri Tender",x bone jamaican grilled chicken x grilled chicken peri peri tender
"1 x Bone in Jamaican Grilled Chicken, 1 x Bone in Smoky Bbq Grilled Chicken",x bone jamaican grilled chicken x bone smoky bbq grilled chicken
"1 x Grilled Chicken Ghostbuster Tangdi, 1 x Grilled Chicken Smoky BBQ Tender",x grilled chicken ghostbuster tangdi x grilled chicken smoky bbq tender
"1 x Bone in Angara Grilled Chicken, 1 x Bone in Smoky Bbq Grilled Chicken",x bone angara grilled chicken x bone smoky bbq grilled chicken
2 x Salted Fries,x salted fry
"1 x Bone in Peri Peri Grilled Chicken, 1 x Bone in Angara Grilled Chicken",x bone peri peri grilled chicken x bone angara grilled chicken
2 x Bone in Smoky Bbq Grilled Chicken,x bone smoky bbq grilled chicken
2 x Animal Fries,x animal fry
"1 x Grilled Chicken Jamaican Tender, 1 x Grilled Chicken Jamaican Tender",x grilled chicken jamaican tender x grilled chicken jamaican tender
"1 x Fried Chicken Angara Tender, 1 x Animal Fries",x fried chicken angara tender x animal fry
"2 x Bone in Kabuli Grilled Chicken, 2 x Bone in Kabuli Grilled Chicken",x bone kabuli grilled chicken x bone kabuli grilled chicken
"1 x Bone in Kabuli Grilled Chicken, 1 x Bone in Jamaican Grilled Chicken",x bone kabuli grilled chicken x bone jamaican grilled chicken
"1 x Fried Chicken Classic Tender, 1 x Fried Chicken Peri Peri Tender",x fried chicken classic tender x fried chicken peri peri tender
2 x Fried Chicken Classic Tender,x fried chicken classic tender
"1 x Jamaican Sauce, 1 x Bone in Kabuli Grilled Chicken, 1 x Bone in Jamaican Grilled Chicken, 1 x Bone in Peri Peri Grilled Chicken",x jamaican sauce x bone kabuli grilled chicken x bone jamaican grilled chicken x bone peri peri grilled chicken
1 x Fried Chicken Peri Peri Tender,x fried chicken peri peri tender
"1 x Grilled Chicken Smoky BBQ Tender, 1 x Bone in Peri Peri Grilled Chicken, 1 x Bone in Jamaican Grilled Chicken",x grilled chicken smoky bbq tender x bone peri peri grilled chicken x bone jamaican grilled chicken
1 x Grilled Chicken Smoky BBQ Tender,x grilled chicken smoky bbq tender
1 x Jamaican Chicken Melt,x jamaican chicken melt
1 x Murgh Amritsari Garlic Bread,x murgh amritsari garlic bread
1 x Just Pepperoni Pizza,x pepperoni pizza
1 x Murgh Amritsari Garlic Bread,x murgh amritsari garlic bread
1 x Chilli Cheese Garlic Bread,x chilli cheese garlic bread
"1 x Murgh Amritsari Seekh Pide, 1 x OG Cheese Pide",x murgh amritsari seekh pide x og cheese pide
"1 x Cheesy Garlic Bread, 1 x Chilli Cheese Garlic Bread, 1 x All About Chicken Pizza",x cheesy garlic bread x chilli cheese garlic bread x chicken pizza
1 x Chilli Cheese Garlic Bread,x chilli cheese garlic bread
1 x Murgh Amritsari Garlic Bread,x murgh amritsari garlic bread
"1 x Mushroom Mozzarella Melt, 1 x Masala Potato Pide",x mushroom mozzarella melt x masala potato pide
"1 x Bageecha Pizza, 1 x Chilli Cheese Garlic Bread",x bageecha pizza x chilli cheese garlic bread
